User ID,Module,Time on Module,0.85 Quartile
102,Pin Entry,45.94,42.82
102,Lab Selection,16.17,15.19
103,Lab Initiation,14.85,9.459
108,Placement,67.09,55.982
108,module0,1041.77,868.172
108,module2,574.58,456.968
108,module3,531.81,481.018
108,module4,521.48,456.479
112,Pin Entry,55.59,42.82
112,Lab Selection,33.12,15.19
112,module4,471.98,456.479
113,Placement,66.94,55.982
113,Lab Selection,26.91,15.19
113,module1,700.72,681.77
113,module2,843.5,456.968
115,Lab Selection,28.19,15.19
116,module2,537.51,456.968
117,Pin Entry,54.88,42.82
117,module3,714.75,481.018
119,Pin Entry,119.05,42.82
122,module0,1312.26,868.172
123,Lab Initiation,12.58,9.459
123,module2,645.25,456.968
126,module0,913.21,868.172
126,module1,1518.09,681.77
126,module3,555.12,481.018
126,module4,483.52,456.479
127,module2,475.21,456.968
127,module4,538.86,456.479
129,module0,992.14,868.172
129,module1,875.96,681.77
143,Pin Entry,92.99,42.82
143,Lab Initiation,9.74,9.459
145,Lab Initiation,9.64,9.459
148,module2,500.73,456.968
151,module1,697.52,681.77
152,Placement,83.05,55.982
154,module3,833.31,481.018
159,Lab Initiation,9.63,9.459
159,module4,514.41,456.479
163,Lab Initiation,9.55,9.459
163,module3,620.57,481.018
168,Placement,187.5,55.982
168,module1,806.14,681.77
170,Placement,58.53,55.982
172,module1,717.76,681.77
174,Placement,73.38,55.982
174,Pin Entry,44.78,42.82
174,Lab Selection,16.21,15.19
174,module0,1084.54,868.172
174,module3,625.13,481.018
175,Lab Selection,22.98,15.19
175,module0,981.84,868.172
175,module4,459.3,456.479
