User ID,Introduction,Placement,Pin Entry,Authentication,Lab Selection,Lab Initiation,module0,module1,module2,module3,module4,module5,module6,module7,Total
88,8.68,3.14,5.54,0.0,3.95,9.27,9.98,8.96,6.59,7.45,8.57,11.82,9.39,2.26,97.5
102,8.68,33.86,45.94,0.0,16.17,6.48,848.87,399.21,385.71,65.58,250.26,405.45,96.35,84.35,2650.48
103,8.68,32.54,16.74,0.0,2.63,14.85,17.03,11.41,152.37,332.93,335.88,217.0,136.05,45.39,1325.46
105,8.68,39.1,18.8,0.0,5.33,6.52,477.22,564.31,376.23,237.16,191.83,193.15,117.85,47.47,2286.13
108,8.68,67.09,34.8,0.0,5.42,6.79,1041.77,675.02,574.58,531.81,521.48,197.31,125.46,48.85,3843.54
110,8.68,36.03,16.96,0.0,12.35,9.01,498.82,369.53,367.16,287.54,262.27,188.01,87.52,47.27,2192.95
111,8.67,30.81,10.82,0.0,9.5,6.56,26.27,100.25,342.01,382.88,318.57,504.06,130.94,48.76,3444.1
112,8.68,28.49,55.59,0.0,33.12,7.26,317.23,387.47,70.46,459.25,471.98,428.02,245.43,47.2,3697.91
113,8.68,66.94,23.06,0.0,26.91,6.69,670.33,700.72,843.5,415.3,315.99,393.39,117.45,171.43,3910.19
115,8.68,40.06,41.98,0.0,28.19,7.99,674.81,508.11,314.9,249.25,356.34,260.56,116.14,48.15,2665.84
116,8.69,35.93,13.16,0.0,8.11,7.07,507.97,400.41,537.51,285.23,358.24,271.94,110.86,47.63,2637.84
117,8.68,0.74,54.88,0.0,5.48,7.02,783.58,643.67,234.76,714.75,361.39,451.35,252.67,74.95,3596.85
118,8.68,34.05,26.68,0.0,10.37,6.41,611.27,642.9,388.45,309.03,342.29,376.0,61.87,6.92,2882.34
119,8.67,32.2,119.05,0.0,8.19,7.16,620.32,544.75,363.62,311.87,320.41,298.45,197.03,117.1,2951.05
122,8.68,37.83,34.47,0.0,4.37,6.53,1312.26,68.03,296.87,350.45,455.27,486.78,188.21,56.28,4475.52
123,8.68,31.23,23.37,0.0,8.08,12.58,529.73,496.1,645.25,343.95,289.66,399.99,115.16,57.97,2964.05
124,8.69,40.93,37.66,0.0,6.55,8.85,237.97,439.12,253.72,274.23,227.58,392.73,101.94,89.12,2454.73
125,8.68,35.68,13.63,0.0,8.48,8.28,522.45,549.43,264.59,224.37,249.68,344.35,129.74,10.68,2611.01
126,8.69,44.81,22.97,0.0,6.05,7.02,913.21,1518.09,429.36,555.12,483.52,754.86,8.27,3.65,4825.44
127,8.69,35.67,25.98,0.0,10.2,8.4,748.24,160.04,475.21,302.28,538.86,239.06,89.01,43.44,2970.34
128,8.67,54.89,26.58,0.0,12.5,6.68,491.89,498.81,40.43,313.95,306.11,298.22,122.0,118.01,2579.58
129,8.68,40.05,19.99,0.0,10.84,6.46,992.14,875.96,254.07,314.31,371.42,264.12,127.52,49.88,3386.08
130,8.68,42.71,25.92,0.0,14.77,6.42,660.2,325.44,311.94,249.45,355.83,177.44,117.36,47.43,2348.68
141,8.68,40.51,10.37,0.0,10.13,8.98,597.95,203.54,449.15,223.76,328.81,230.11,142.77,5.26,2309.11
143,8.68,34.95,92.99,0.0,7.46,9.74,570.42,405.13,148.01,402.84,376.05,354.86,217.02,55.03,2964.93
145,8.67,37.33,14.95,0.0,7.76,9.64,847.59,560.22,371.55,77.63,283.46,345.51,125.58,6.16,2699.47
148,8.69,30.04,15.16,0.0,3.06,9.21,761.43,236.2,500.73,413.82,208.57,262.22,122.37,17.99,2591.77
150,8.69,33.58,19.49,0.0,5.91,9.42,431.53,185.3,415.27,304.25,303.25,238.35,26.83,52.14,2039.69
151,8.67,35.63,21.06,0.0,5.18,9.11,835.12,697.52,397.29,10.26,255.02,400.29,43.33,7.19,2988.82
152,8.68,83.05,31.26,0.0,7.19,9.31,778.4,511.71,432.3,385.85,347.64,291.0,210.11,189.66,3305.71
154,8.68,31.2,37.47,0.0,5.07,9.36,496.07,493.69,387.45,833.31,262.49,513.2,261.5,54.93,3401.4
157,8.68,33.51,35.89,0.0,10.53,8.97,295.36,444.42,387.49,353.64,389.19,350.32,159.92,7.6,2841.85
159,8.69,43.88,25.71,0.0,6.16,9.63,728.79,249.8,408.03,418.97,514.41,466.89,290.17,50.93,3251.31
163,8.68,28.49,26.55,0.0,4.0,9.55,545.19,364.72,197.59,620.57,120.88,192.2,133.43,61.7,2881.12
168,8.68,187.5,10.23,0.0,3.74,9.19,578.59,806.14,150.96,332.15,358.9,168.21,581.2,3.29,3200.86
170,8.68,58.53,31.41,0.0,12.55,9.08,583.81,652.88,161.01,367.4,310.02,229.85,106.6,46.23,2628.08
172,8.67,39.2,22.04,0.0,6.84,9.04,493.79,717.76,392.01,351.99,334.01,233.05,46.15,47.77,2711.52
174,8.67,73.38,44.78,0.0,16.21,9.12,1084.54,323.48,270.14,625.13,191.51,322.58,137.78,36.4,3146.78
175,8.68,40.94,20.66,0.0,22.98,9.24,981.84,276.3,309.29,357.33,459.3,423.9,140.95,10.72,3466.61
